City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Pionerskiy,RU,2021-04-30 19:20:54,54.9508,20.2275,41.0,75,40,11.18
181,Sao Filipe,CV,2021-04-30 19:18:39,14.8961,-24.4956,71.78,79,74,10.33
182,Chitrakonda,IN,2021-04-30 19:20:55,18.1167,82.0833,75.24,66,4,3.38
183,Sao Joao Da Barra,BR,2021-04-30 19:18:08,-21.6403,-41.0511,77.0,57,20,13.8
184,Newport News,US,2021-04-30 19:15:55,36.9788,-76.428,77.0,31,40,19.57
185,Luanda,AO,2021-04-30 19:15:42,-8.8368,13.2343,78.8,89,20,4.61
186,Marsa Matruh,EG,2021-04-30 19:20:56,31.3525,27.2453,69.8,64,0,4.61
187,Katsuura,JP,2021-04-30 19:19:04,35.1333,140.3,60.8,82,20,8.05
188,Rio Gallegos,AR,2021-04-30 19:18:06,-51.6226,-69.2181,46.4,81,20,8.05
189,Airai,TL,2021-04-30 19:18:03,-8.9266,125.4092,57.43,86,100,2.73
190,Hobbs,US,2021-04-30 19:20:06,32.7026,-103.136,64.4,52,90,14.97
191,Araouane,ML,2021-04-30 19:20:56,18.9048,-3.5265,88.21,29,100,2.55
192,Tiksi,RU,2021-04-30 19:18:24,71.6872,128.8694,30.13,80,100,2.44
193,Half Moon Bay,US,2021-04-30 19:18:26,37.4636,-122.4286,70.0,82,75,9.22
194,Nuuk,GL,2021-04-30 19:20:56,64.1835,-51.7216,33.8,100,20,6.91
195,Djibo,BF,2021-04-30 19:20:57,14.1022,-1.6306,100.54,14,99,3.94
196,Nara,JP,2021-04-30 19:18:54,34.6851,135.8049,55.99,76,5,2.39
197,Oga,IT,2021-04-30 19:17:02,46.4631,10.347,57.0,87,75,8.05
198,Tilisos,GR,2021-04-30 19:20:57,35.2961,25.0159,79.0,73,20,4.61
199,Andra,RU,2021-04-30 19:20:57,62.5147,65.8878,28.83,84,100,7.09
200,Deputatskiy,RU,2021-04-30 19:18:39,69.3,139.9,17.38,97,98,0.98
201,Folldal,NO,2021-04-30 19:17:51,62.1325,9.9968,23.5,87,99,3.87
202,Pevek,RU,2021-04-30 19:16:19,69.7008,170.3133,14.59,92,100,11.12
203,Nouakchott,MR,2021-04-30 19:13:24,18.0858,-15.9785,71.6,68,1,23.02
204,Taksimo,RU,2021-04-30 19:20:58,56.3444,114.8794,29.7,78,8,0.87
205,Bengkulu,ID,2021-04-30 19:18:53,-3.8004,102.2655,75.87,89,99,2.82
